team,Pts,W,D,L,GF,GA,GD,Team
B. Jerusalem,67,20,7,6,61,23,38,B. Jerusalem
Maccabi Netanya,58,16,10,7,40,24,16,M. Netanya
Kiryat Shmona,56,15,11,7,43,34,9,Kiryat Shmona
Bnei Sakhnin,55,15,10,8,35,29,6,Bnei Sakhnin
Maccabi Haifa,47,13,8,12,38,27,11,M. Haifa
M. Tel Aviv,41,11,8,14,43,43,0,M. Tel Aviv
Hapoel Tel Aviv,41,12,5,16,35,40,-5,H. Tel Aviv
FC Ashdod,39,11,6,16,36,52,-16,FC Ashdod
Bnei Yehuda,38,11,5,17,31,43,-12,Bnei Yehuda
M. Petah Tikva,37,10,7,16,28,39,-11,M. Petah Tikva
H. Kfar Saba,37,9,10,14,37,54,-17,H. Kfar Saba
Maccabi Herzlya,30,7,9,17,32,51,-19,M. Herzlya
