season,leadership_changes,first_leader,last_leader,last_round,leadership_changes
2013/14,2,Maccabi Haifa,M. Tel Aviv,26,2.0
2014/15,7,Hapoel Raanana,M. Tel Aviv,26,7.0
2015/16,5,Bnei Yehuda,H. Beer Sheva,26,7.0
2016/17,3,M. Tel Aviv,H. Beer Sheva,26,3.0
2017/18,8,B. Jerusalem,H. Beer Sheva,26,8.0
2018/19,4,Hapoel Haifa,M. Tel Aviv,26,4.0
2019/20,5,M. Tel Aviv,M. Tel Aviv,26,0.0
2020/21,8,Bnei Yehuda,Maccabi Haifa,26,0.0
2021/22,5,Bnei Sakhnin,Maccabi Haifa,26,0.0
2022/23,5,M. Tel Aviv,Maccabi Haifa,26,0.0
2023/24,4,M. Tel Aviv,M. Tel Aviv,26,4.0
2024/25,2,Maccabi Haifa,H. Beer Sheva,26,2.0
2025/26,1,M. Tel Aviv,H. Beer Sheva,11,1.0
