season,season_year,player_name,position,nationality,club,market_value_millions
2006/07,2006,,Unknown,Chile,Beitar Jerusalem,0.0
2007/08,2007,,Unknown,Croatia,Beitar Jerusalem,0.0
2007/08,2007,,Unknown,Chile,Beitar Jerusalem,0.0
2007/08,2007,,Unknown,Peru,Beitar Jerusalem,0.0
2008/09,2008,,Unknown,Argentina,Beitar Jerusalem,0.0
2008/09,2008,,Unknown,Croatia,Beitar Jerusalem,0.0
2008/09,2008,,Unknown,Chile,Beitar Jerusalem,0.0
2009/10,2009,,Unknown,Peru,Beitar Jerusalem,0.0
2010/11,2010,,Unknown,Chile,Beitar Jerusalem,0.0
2011/12,2011,,Unknown,France,Beitar Jerusalem,0.0
2011/12,2011,,Unknown,Ukraine,Beitar Jerusalem,0.0
2012/13,2012,,Unknown,Croatia,Beitar Jerusalem,0.0
2013/14,2013,,Unknown,Venezuela,Beitar Jerusalem,0.0
2013/14,2013,,Unknown,Sierra Leone,Beitar Jerusalem,0.0
2015/16,2015,,Unknown,Brazil,Beitar Jerusalem,0.0
2015/16,2015,,Unknown,Serbia,Beitar Jerusalem,0.0
2015/16,2015,,Unknown,Australia,Beitar Jerusalem,0.0
2016/17,2016,,Unknown,Brazil,Beitar Jerusalem,0.0
2016/17,2016,,Unknown,Martinique,Beitar Jerusalem,0.0
2016/17,2016,,Unknown,Slovakia,Beitar Jerusalem,0.0
2016/17,2016,,Unknown,Guinea,Beitar Jerusalem,0.0
2016/17,2016,,Unknown,Germany,Beitar Jerusalem,0.0
2017/18,2017,,Unknown,Brazil,Beitar Jerusalem,0.0
2017/18,2017,,Unknown,Slovakia,Beitar Jerusalem,0.0
2017/18,2017,,Unknown,Denmark,Beitar Jerusalem,0.0
2018/19,2018,,Unknown,Portugal,Beitar Jerusalem,0.0
2018/19,2018,,Unknown,Guatemala,Beitar Jerusalem,0.0
2019/20,2019,,Unknown,Guinea,Beitar Jerusalem,0.0
2019/20,2019,,Unknown,Niger,Beitar Jerusalem,0.0
2019/20,2019,,Unknown,Trinidad and Tobago,Beitar Jerusalem,0.0
2019/20,2019,,Unknown,Guadeloupe,Beitar Jerusalem,0.0
2020/21,2020,,Unknown,Guinea,Beitar Jerusalem,0.0
2020/21,2020,,Unknown,Niger,Beitar Jerusalem,0.0
2020/21,2020,,Unknown,Paraguay,Beitar Jerusalem,0.0
2021/22,2021,,Unknown,Ghana,Beitar Jerusalem,0.0
2021/22,2021,,Unknown,Venezuela,Beitar Jerusalem,0.0
2021/22,2021,,Unknown,Paraguay,Beitar Jerusalem,0.0
2022/23,2022,,Unknown,Colombia,Beitar Jerusalem,0.0
2022/23,2022,,Unknown,Moldova,Beitar Jerusalem,0.0
2022/23,2022,,Unknown,Venezuela,Beitar Jerusalem,0.0
2022/23,2022,,Unknown,Panama,Beitar Jerusalem,0.0
2023/24,2023,,Unknown,Cote d'Ivoire,Beitar Jerusalem,0.0
2023/24,2023,,Unknown,Portugal,Beitar Jerusalem,0.0
2023/24,2023,,Unknown,Russia,Beitar Jerusalem,0.0
2023/24,2023,,Unknown,Montenegro,Beitar Jerusalem,0.0
2023/24,2023,,Unknown,Georgia,Beitar Jerusalem,0.0
2023/24,2023,,Unknown,Costa Rica,Beitar Jerusalem,0.0
2024/25,2024,,Unknown,Ghana,Beitar Jerusalem,0.0
2024/25,2024,,Unknown,Portugal,Beitar Jerusalem,0.0
2024/25,2024,,Unknown,Madagascar,Beitar Jerusalem,0.0
2024/25,2024,,Unknown,New Caledonia,Beitar Jerusalem,0.0
2024/25,2024,,Unknown,Russia,Beitar Jerusalem,0.0
2024/25,2024,,Unknown,Costa Rica,Beitar Jerusalem,0.0
2025/26,2025,,Unknown,Colombia,Beitar Jerusalem,0.3
2025/26,2025,,Unknown,Russia,Beitar Jerusalem,0.8
