season,Total_Budget_NIS_m,Avg_Budget_NIS_m,Max_Budget_NIS_m,Min_Budget_NIS_m,Std_Budget_NIS_m,Num_Teams,Budget_Ratio_Max_Min,Budget_Gini_Approx
2006/07,270.0,54.0,135.0,12.5,47.32,5,10.8,0.876
2007/08,270.0,54.0,135.0,12.5,47.32,5,10.8,0.876
2008/09,245.0,49.0,110.0,12.5,36.77,5,8.8,0.75
2009/10,221.5,44.3,87.5,11.5,27.98,5,7.61,0.632
2010/11,260.0,52.0,105.0,12.5,34.7,5,8.4,0.667
2011/12,242.0,48.4,88.0,11.5,29.14,5,7.65,0.602
2012/13,270.0,54.0,105.0,22.5,32.62,5,4.67,0.604
2013/14,285.0,57.0,130.0,27.5,42.11,5,4.73,0.739
2014/15,315.5,63.1,125.0,32.5,40.54,5,3.85,0.642
2015/16,351.0,70.2,163.0,30.0,53.93,5,5.43,0.768
2016/17,384.5,76.9,163.0,15.0,56.82,5,10.87,0.739
2017/18,350.5,70.1,120.0,15.5,40.61,5,7.74,0.579
2018/19,440.5,88.1,180.0,34.5,55.72,5,5.22,0.632
2019/20,417.5,83.5,165.0,35.0,50.67,5,4.71,0.607
2020/21,342.0,68.4,125.0,15.0,40.73,5,8.33,0.595
2021/22,861.0,45.32,110.0,14.0,34.7,19,7.86,0.766
2022/23,864.5,45.5,112.5,12.0,35.89,19,9.38,0.789
2023/24,893.0,47.0,120.0,13.5,35.43,19,8.89,0.754
2024/25,581.0,41.5,120.0,16.0,34.07,14,7.5,0.821
