rank,team,matches,wins,draws,losses,goals,goal_diff,points
1,M. Tel Aviv,26,19,5,2,55:20,35,62
2,Maccabi Haifa,26,17,6,3,55:18,37,55
3,H. Beer Sheva,26,15,4,7,45:19,26,49
4,Hapoel Haifa,26,14,5,7,38:32,6,47
5,M. Bnei Reineh,26,8,10,8,27:26,1,34
6,Bnei Sakhnin,26,7,13,6,26:31,-5,33
7,H. Jerusalem,26,8,7,11,28:33,-5,31
8,M. Petah Tikva,26,8,6,12,31:48,-17,30
9,Maccabi Netanya,26,8,4,14,29:41,-12,28
10,Hapoel Hadera,26,8,4,14,21:38,-17,28
11,Hapoel Tel Aviv,26,6,9,11,29:37,-8,26
12,B. Jerusalem,26,8,6,12,34:34,0,25
13,FC Ashdod,26,5,7,14,20:42,-22,22
14,H. Petah Tikva,26,3,10,13,20:39,-19,19
