season,champion,champion_points,runner_up,runner_up_points,points_gap,leadership_changes,total_rounds
2006/07,Beitar Jerusalem,43,Hapoel Tel Aviv,39,4,0,22
2007/08,Beitar Jerusalem,51,Maccabi Netanya,40,11,0,22
2008/09,Maccabi Haifa,42,Hapoel Tel Aviv,41,1,4,19
2009/10,Maccabi Haifa,77,Hapoel Tel Aviv,71,6,2,30
2010/11,Maccabi Haifa,70,Hapoel Tel Aviv,62,8,3,30
2011/12,Ironi Kiryat Shmona,66,Hapoel Tel Aviv,53,13,6,30
2012/13,Maccabi Tel Aviv,59,Maccabi Haifa,49,10,4,26
2013/14,Maccabi Tel Aviv,66,Hapoel Be'er Sheva,59,7,3,26
2014/15,Maccabi Tel Aviv,55,Hapoel Be'er Sheva,49,6,5,26
2015/16,Hapoel Be'er Sheva,64,Maccabi Tel Aviv,61,3,1,26
2016/17,Hapoel Be'er Sheva,59,Maccabi Tel Aviv,56,3,3,26
2017/18,Hapoel Be'er Sheva,57,Beitar Jerusalem,56,1,1,26
2018/19,Maccabi Tel Aviv,66,Maccabi Haifa,44,22,6,26
2019/20,Maccabi Tel Aviv,64,Maccabi Haifa,58,6,4,23
2020/21,Maccabi Haifa,59,Maccabi Tel Aviv,58,1,3,26
2021/22,Maccabi Haifa,59,Hapoel Be'er Sheva,55,4,0,26
2022/23,Maccabi Haifa,62,Hapoel Be'er Sheva,58,4,0,26
2023/24,Maccabi Tel Aviv,62,Maccabi Haifa,57,5,2,26
2024/25,Hapoel Be'er Sheva,59,Maccabi Tel Aviv,54,5,0,26
2025/26,Hapoel Be'er Sheva,24,Maccabi Tel Aviv,23,1,0,10
