season,HHI,interpretation,num_teams
2006/07,964.8889125685973,Very Competitive,12
2007/08,894.2222222222224,Very Competitive,12
2008/09,955.8823529411765,Very Competitive,12
2009/10,794.432474949557,Very Competitive,16
2010/11,743.1559917355371,Very Competitive,16
2011/12,683.9520197801463,Very Competitive,16
2012/13,829.8898071625345,Very Competitive,14
2013/14,892.0847750865054,Very Competitive,14
2014/15,814.2011834319529,Very Competitive,14
2015/16,914.4575629316106,Very Competitive,14
2016/17,887.68,Very Competitive,14
2017/18,886.0354840428366,Very Competitive,14
2018/19,864.0120210368146,Very Competitive,14
2019/20,880.0672127704264,Very Competitive,14
2020/21,831.6905535723799,Very Competitive,14
2021/22,856.5157750342937,Very Competitive,14
2022/23,939.7833207357015,Very Competitive,14
2023/24,876.5872131877923,Very Competitive,14
2024/25,860.4613991155628,Very Competitive,14
2025/26,968.5950413223138,Very Competitive,14
