season,num_teams,total_matches,HHI,Gini,max_points,min_points,point_gap,draw_pct,big_margin_pct,upsets_bottom_top,upsets_middle_top,upsets_bottom_middle,HHI_normalized,Gini_normalized,combined_score,rank
2006/07,12,198,907.5,0.169,67,19,48,30.81,11.62,0.0,44.44,50.0,1.0,0.3831775700934581,0.691588785046729,18.0
2007/08,12,198,878.45,0.128,67,30,37,24.24,13.13,0.0,16.67,50.0,0.8813220034316531,0.0,0.44066100171582656,8.0
2008/09,12,198,906.21,0.168,67,27,40,31.31,8.59,0.0,33.33,0.0,0.99472996159817,0.37383177570093473,0.6842808686495523,15.0
2009/10,16,240,711.21,0.198,77,20,57,28.75,15.83,6.67,0.0,12.5,0.19809624969360248,0.6542056074766357,0.4261509285851191,7.0
2010/11,16,240,696.66,0.185,70,12,58,26.67,15.42,12.5,22.22,10.0,0.1386551188822614,0.5327102803738318,0.33568269962804664,3.0
2011/12,16,240,662.72,0.136,66,27,39,27.92,14.17,20.0,50.0,6.67,0.0,0.074766355140187,0.0373831775700935,1.0
2012/13,14,182,768.73,0.151,59,24,35,27.47,14.84,0.0,25.0,66.67,0.43308276820001634,0.21495327102803735,0.3240180196140269,2.0
2013/14,14,182,815.44,0.205,66,20,46,25.27,11.54,0.0,0.0,0.0,0.6239071819593106,0.719626168224299,0.6717666750918048,14.0
2014/15,14,182,768.74,0.155,56,22,34,28.57,12.64,0.0,28.57,33.33,0.4331236212108832,0.25233644859813087,0.34273003490450704,4.0
2015/16,14,182,821.92,0.205,64,11,53,26.37,12.09,0.0,16.67,60.0,0.650379933001062,0.719626168224299,0.6850030506126805,16.0
2016/17,14,182,799.97,0.192,59,18,41,31.32,12.09,0.0,20.0,0.0,0.5607075741482148,0.5981308411214954,0.5794192076348551,10.0
2017/18,14,182,831.83,0.231,57,14,43,24.73,12.09,0.0,0.0,0.0,0.6908652667701611,0.9626168224299068,0.826741044600034,19.0
2018/19,14,182,784.57,0.159,66,21,45,33.52,13.74,37.5,0.0,60.0,0.4977939374131875,0.28971962616822433,0.39375678179070595,6.0
2019/20,14,182,814.43,0.209,64,16,48,24.18,19.23,0.0,0.0,66.67,0.6197810278617532,0.7570093457943925,0.6883951868280729,17.0
2020/21,14,182,779.4,0.16,59,22,37,24.73,12.09,0.0,44.44,20.0,0.47667293079499945,0.2990654205607477,0.3878691756778736,5.0
2021/22,14,182,802.85,0.198,59,20,39,25.82,12.09,50.0,0.0,42.86,0.5724732412778822,0.6542056074766357,0.613339424377259,12.0
2022/23,14,182,812.58,0.199,62,17,45,30.77,16.48,0.0,16.67,20.0,0.6122232208513769,0.6635514018691591,0.637887311360268,13.0
2023/24,14,182,803.13,0.189,62,19,43,26.37,16.48,14.29,8.33,50.0,0.5736171255821554,0.5700934579439253,0.5718552917630404,9.0
2024/25,14,182,800.83,0.195,60,20,40,24.73,16.48,0.0,16.67,42.86,0.5642209330827683,0.6261682242990656,0.595194578690917,11.0
2025/26,14,74,849.09,0.235,28,1,27,25.68,17.57,0.0,0.0,0.0,0.761377563526432,1.0,0.8806887817632161,20.0
